ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2426,2021Q1,-,-,18.7,17.8,+1.4,+8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2426,2020Q4,-,-,17.3,16.6,+2,+13.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2426,2020Q3,30.1,34,15.3,14.8,+1.7,+12.5,6.49,1.01,0.16,-0.38,-0.36,15.5,2.41,-5.81,-5.62,-0.94,-3.75,-0.6,-2.41,-0.12,-0.05,12.83
3,2426,2020Q2,30.1,66,13.6,12.8,+4.02,+42,6.42,0.86,-0.05,5.69,5.31,13.5,-0.76,88.7,82.8,14.6,58.5,9,36,1.78,+1.69,12.92
4,2426,2020Q1,30.1,34,9.58,12.5,-5.97,-38.4,4.92,0.64,-0.18,-2.15,-2.33,13.1,-3.62,-43.7,-47.3,-6.55,-26.2,-3.91,-15.6,-0.78,-0.9,11.13
5,2426,2019Q4,30.1,51,15.55,14.5,+0.05,+0.3,6.15,0.72,-0.2,1.51,1.4,11.7,-3.17,24.6,23,3.88,15.5,2.33,9.31,0.47,+0.48,12.27
6,2426,2019Q3,30.1,32,15.5,16.4,-1.9,-10.9,5.79,0.64,-0.2,0.02,-0.22,11.1,-3.5,0.32,-3.47,-0.56,-2.23,-0.34,-1.35,-0.07,-0.37,11.81
7,2426,2019Q2,30.1,45,17.4,16.9,0,0,7.6,1.48,0.08,0.46,0.26,19.5,1.1,6.07,5.72,1.09,4.36,0.69,2.76,0.09,-1.38,11.93
8,2426,2019Q1,30.1,45,17.4,17.4,+1,+6.1,5.66,1.01,0.02,0.61,0.36,17.9,0.43,10.8,7.85,1.03,4.1,0.68,2.72,0.12,+0.09,13.06
9,2426,2018Q4,30.1,43,16.4,16.5,-2.3,-12.3,6.01,0.89,-0.25,0.74,-0.04,14.8,-4.24,12.3,6.95,0.97,3.89,0.6,2.41,-0.01,-0.32,12.92
10,2426,2018Q3,30.1,34,18.7,20.6,-5.25,-21.9,7.77,1.65,0.7,-0.55,0.9,21.3,9,-7.09,-0.07,-0.01,-0.05,-0.01,-0.03,0.3,+0.09,12.94
11,2426,2018Q2,30.1,68,23.95,17.2,+7.35,+44.3,8.44,1.89,0.17,4.39,4.43,22.4,1.96,52.1,52.8,11.4,45.4,6.48,25.9,1.47,+1.15,12.57
12,2426,2018Q1,30.1,47,16.6,16.9,+0.85,+5.4,8.06,1.72,0.75,-0.74,0.1,21.3,9.32,-9.13,0.19,0.04,0.16,0.02,0.09,0.03,+0.22,11.85
13,2426,2017Q4,30,45,15.75,14.8,+2.1,+15.4,8.05,1.85,0.65,-0.04,0.94,23,8.08,-0.45,7.64,1.63,6.54,0.99,3.94,0.31,-0.25,11.79
14,2426,2017Q3,29.9,49,13.65,13.3,-1.1,-7.5,7.82,1.87,0.83,-0.21,0.63,23.9,10.6,-2.73,7.89,1.68,6.72,1.07,4.26,0.21,+0.14,11.5
15,2426,2017Q2,29.5,55,14.75,14.5,+1,+7.3,8.2,2.03,1.07,-0.23,0.95,24.7,13,-2.77,10.3,2.28,9.13,1.51,6.05,0.32,+0.14,11.25
16,2426,2017Q1,29.4,43,13.75,12.6,+1.3,+10.4,7.17,1.57,0.71,-1.35,-0.55,22,9.88,-18.8,-8.96,-1.77,-7.06,-1.24,-4.96,-0.19,-0.3,11.81
17,2426,2016Q4,29.3,62,12.45,11.9,-0.35,-2.7,7.89,1.79,0.73,0.68,1.63,22.7,9.3,8.59,20.2,4.61,18.5,3.22,12.9,0.56,+0.45,11.95
18,2426,2016Q3,29.3,49,12.8,13.2,-0.65,-4.8,8.28,1.81,0.95,-0.81,0.19,21.8,11.5,-9.73,1.34,0.33,1.31,0.22,0.88,0.07,-0.34,11.48
19,2426,2016Q2,29.3,51,13.45,12.9,-0.8,-5.6,7.86,1.85,0.96,-0.43,0.52,23.6,12.2,-5.46,5.44,1.21,4.85,0.85,3.38,0.18,-0.19,11.45
20,2426,2016Q1,29.3,53,14.25,14.8,-1.5,-9.5,7.21,1.69,0.79,-0.5,0.31,23.4,10.9,-6.87,3.48,0.69,2.76,0.5,2,0.11,-0.23,12.37
21,2426,2015Q4,29.1,51,15.75,15.1,+3.65,+30.2,8.47,1.92,0.66,-0.36,0.3,22.7,7.74,-4.24,1.13,0.27,1.08,0.19,0.75,0.11,-0.31,12.26
22,2426,2015Q3,27.6,53,12.1,12.3,-3,-19.9,8.9,1.92,0.73,0.35,1.13,21.6,8.25,3.97,12.2,3.23,12.9,2.09,8.35,0.41,+0.05,12.17
23,2426,2015Q2,27.6,53,15.1,15.3,+0.6,+4.1,9.62,2.07,1.12,-0.03,1.02,21.5,11.6,-0.28,11.3,3.22,12.9,2.11,8.44,0.37,+0.12,11.7
24,2426,2015Q1,27.6,53,14.5,13.4,+0.7,+5.1,8.61,1.88,1.04,-0.17,0.84,21.8,12.1,-2.03,10,2.71,10.8,1.68,6.72,0.34,+0.11,12.31
25,2426,2014Q4,23.6,49,13.8,11.2,+5.38,+63.9,9.54,1.59,0.61,0.39,0.99,16.7,6.36,4.11,10.4,3.47,13.9,1.89,7.57,0.42,+2.59,12.08
26,2426,2014Q3,23.9,47,8.42,10.4,-2.68,-24.1,11.3,2.06,0.72,0.13,0.84,18.3,6.35,1.11,7.47,3.06,12.2,1.6,6.39,0.36,+0.39,11.58
27,2426,2014Q2,36.1,40,11.1,10.7,+0.2,+1.8,14.3,2.35,1.26,-0.32,0.9,16.5,8.81,-2.21,6.6,3.54,14.2,1.78,7.1,0.25,+0.49,7.38
28,2426,2014Q1,36.1,43,10.9,9.59,+3.04,+38.7,13,1.54,0.77,0.08,0.81,11.9,5.98,0.64,6.63,3.33,13.3,1.59,6.36,0.23,+0.53,7.18
29,2426,2013Q4,36.1,23,7.86,7.4,+1.26,+19.1,14.9,0.36,-1.1,-6.71,-7.75,2.42,-7.37,-45.1,-52.5,-27.8,-111,-14,-55.9,-2.17,-1.56,6.95
30,2426,2013Q3,36.1,28,6.6,5.92,-0.21,-3.1,9.98,0.95,-0.22,0.16,-0.12,9.52,-2.17,1.65,-0.52,-0.17,-0.67,-0.09,-0.36,-0.03,+0.27,8.49
31,2426,2013Q2,36.1,21,6.81,7.45,-1.39,-17,8.84,-1.09,-3.62,2.54,-0.87,-12.3,-40.9,28.7,-11.8,-3.29,-13.2,-1.72,-6.87,-0.24,+0.6,8.61
