ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2359,2021Q1,-,-,17.55,18.2,-1.65,-8.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2359,2020Q4,-,-,19.2,18.7,+0.7,+3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2359,2020Q3,17.1,49,18.5,19.4,-0.95,-4.9,9.69,1.96,0.17,-0.15,-0.04,20.3,1.72,-1.6,0.13,0.03,0.11,0.02,0.08,-0.02,-0.48,26.13
3,2359,2020Q2,17.1,51,19.45,18.4,+3.55,+22.3,9.62,2.08,0.33,0.3,0.36,21.6,3.42,3.08,3.98,0.78,3.11,0.62,2.47,0.21,+0.12,26.08
4,2359,2020Q1,17.1,51,15.9,19.5,-6.2,-28.1,6.82,1.6,-0.06,0.32,0.17,23.4,-0.91,4.72,2.96,0.4,1.62,0.32,1.29,0.1,-0.93,26.75
5,2359,2019Q4,17.1,51,22.1,20.9,+0.7,+3.3,8.87,1.99,0.15,0.77,0.47,22.4,1.64,8.74,7.93,1.42,5.67,1.13,4.54,0.28,-0.42,26.69
6,2359,2019Q3,17.1,55,21.4,21,+0.35,+1.7,10.4,2.23,0.61,0.26,0.79,21.5,5.89,2.54,8.05,1.7,6.81,1.35,5.39,0.46,+0.34,26.48
7,2359,2019Q2,17.1,49,21.05,22.2,+0.9,+4.5,8.32,1.62,-0.22,0.49,0.16,19.5,-2.66,5.89,2.46,0.41,1.66,0.32,1.28,0.09,-0.68,26.24
8,2359,2019Q1,17.1,60,20.15,19.1,+2,+11,9.79,1.84,-0.2,2.51,1.76,18.8,-2.05,25.7,19,3.82,15.3,2.96,11.8,1.03,+0.97,27.13
9,2359,2018Q4,17.1,60,18.15,17.8,-3.25,-15.2,8.86,1.88,0.34,1.23,1.2,21.3,3.86,13.9,14.4,2.71,10.8,2.12,8.5,0.7,+0.82,25.96
10,2359,2018Q3,17.1,51,21.4,22,+0.15,+0.7,9.57,1.94,0.33,0.02,0.2,20.2,3.44,0.25,2.92,0.6,2.39,0.46,1.85,0.12,-0.12,25.15
11,2359,2018Q2,17.1,55,21.25,22,-1.3,-5.8,12.1,2.21,0.62,1.06,1.32,18.3,5.17,8.78,12.8,3.27,13.1,2.57,10.3,0.77,+0.49,24.91
12,2359,2018Q1,17.1,51,22.55,24.3,-0.6,-2.6,8.98,1.78,0.21,-0.08,0.1,19.8,2.35,-0.88,0.83,0.16,0.63,0.13,0.51,0.06,+0.12,25.08
13,2359,2017Q4,17.1,45,23.15,22.4,+1.8,+8.4,9.97,2,0.38,-0.57,-0.22,20.1,3.8,-5.69,-2.3,-0.49,-1.94,-0.4,-1.59,-0.12,-0.56,25
14,2359,2017Q3,17.1,53,21.35,20.7,+2.7,+14.5,9.68,2.09,0.57,0.01,0.42,21.6,5.85,0.11,4.95,1.01,4.06,0.84,3.34,0.24,+0.12,25.18
15,2359,2017Q2,17.1,57,18.65,18.4,+2.15,+13,10.8,2.17,0.74,0.14,0.48,20.1,6.84,1.33,5.07,1.16,4.63,0.95,3.8,0.28,+0.06,24.88
16,2359,2017Q1,17.1,43,16.5,15.8,+1.5,+10,9.63,1.87,0.48,-0.63,-0.1,19.4,4.99,-6.54,-1.55,-0.31,-1.23,-0.25,-1.02,-0.06,-0.23,25.57
17,2359,2016Q4,17.1,55,15,14.4,-0.15,-1,10.3,1.97,0.42,0.67,0.75,19.1,4.02,6.48,8.73,1.86,7.43,1.54,6.18,0.44,-0.5,26.03
18,2359,2016Q3,17.1,55,15.15,14.4,+1.05,+7.4,9.36,2.06,0.63,-0.26,0.21,22,6.75,-2.77,2.48,0.48,1.93,0.39,1.58,0.12,-0.48,25.63
19,2359,2016Q2,17.1,49,14.1,15.2,-2.2,-13.5,11.6,2.28,0.74,0.21,0.37,19.6,6.31,1.81,3.86,0.92,3.66,0.73,2.94,0.22,+0.12,25.71
20,2359,2016Q1,17.1,51,16.3,15.8,+1.1,+7.2,9.14,2.04,0.52,-0.02,0.29,22.3,5.64,-0.25,3.63,0.67,2.67,0.54,2.15,0.17,-0.32,26.59
21,2359,2015Q4,17.1,60,15.2,14.6,+1.45,+10.5,12.6,2.17,0.6,1.33,1.62,17.3,4.76,10.6,13.1,3.35,13.4,2.74,11,0.94,+0.42,26.53
22,2359,2015Q3,17.1,62,13.75,14.6,-3.05,-18.2,9.5,1.93,0.29,1.04,1.03,20.3,3.07,10.9,13.1,2.62,10.5,2.16,8.63,0.6,-0.12,25.44
23,2359,2015Q2,17.1,51,16.8,18.3,-4.05,-19.4,11.2,2.37,0.79,-0.09,0.18,21.1,7.06,-0.77,1.77,0.42,1.68,0.35,1.4,0.1,+0.13,24.58
24,2359,2015Q1,17.1,55,20.85,19.3,+0.65,+3.2,12.7,2.58,1.04,0.04,0.87,20.3,8.15,0.3,7.65,2.02,8.1,1.68,6.7,0.49,-0.2,25.58
25,2359,2014Q4,17.1,55,20.2,18.7,+1.5,+8,13.8,2.87,1.1,0.26,0.93,20.8,8,1.9,8.01,2.36,9.44,1.93,7.73,0.52,+0.45,25.14
26,2359,2014Q3,17.1,57,18.7,18.1,-1.05,-5.3,12.3,2.32,0.76,0.76,1.25,18.8,6.2,6.19,11.3,3.02,12.1,2.51,10,0.72,+0.59,24.3
27,2359,2014Q2,18.2,53,19.75,20.6,+0.55,+2.9,11.3,2.37,0.88,-0.31,-0.05,21,7.81,-2.76,0.46,0.11,0.44,0.09,0.37,-0.03,-0.15,23.11
28,2359,2014Q1,18.2,55,19.2,16.4,+5.7,+42.2,14.2,2.67,1.23,0.45,1.26,18.8,8.64,3.15,9.69,3.01,12,2.5,10,0.69,+0.54,23.23
29,2359,2013Q4,18.2,47,13.5,12.9,+0.55,+4.2,13,2.07,0.4,-0.08,0.13,15.9,3.07,-0.65,1.98,0.58,2.31,0.47,1.89,0.07,+0.56,22.53
30,2359,2013Q3,18.2,51,12.95,13,-0.2,-1.5,13.4,1.93,0.28,0.04,0.25,14.4,2.09,0.3,2.09,0.63,2.52,0.51,2.05,0.13,-0.01,22.13
31,2359,2013Q2,18.8,47,13.15,12.9,+0.7,+5.6,16.7,2.58,0.96,-0.17,0.22,15.4,5.74,-1.03,1.47,0.56,2.23,0.45,1.82,0.12,-0.08,21.78
32,2359,2013Q1,18.8,51,12.45,11.9,+0.35,+2.9,13.6,1.75,0.08,0.29,0.27,12.9,0.62,2.14,2.3,0.73,2.91,0.59,2.36,0.15,+0.01,21.02
33,2359,2012Q4,18.8,47,12.1,11.9,-0.8,-6.2,13.9,2.2,0.56,-1.22,-0.95,15.9,4.01,-8.78,-5.4,-1.78,-7.12,-1.43,-5.73,-0.49,-0.79,20.77
34,2359,2012Q3,18.8,47,12.9,10.2,+2.98,+30,15.2,2.49,0.84,-0.37,0.26,16.3,5.5,-2.43,2.51,0.93,3.7,0.73,2.93,0.14,+0.07,20.42
35,2359,2012Q2,18.8,47,9.92,10.1,-0.53,-5.1,14.9,2.28,0.74,-0.03,0.39,15.3,4.95,-0.2,3.63,1.31,5.24,1.03,4.13,0.2,+0.11,20.11
36,2359,2012Q1,18.8,51,10.45,10.6,+0.5,+5,10.5,1.66,0.15,0.12,0.25,15.9,1.48,1.13,2.95,0.75,2.99,0.59,2.34,0.14,+0.03,20.39
37,2359,2011Q4,18.8,47,9.95,9.97,-0.1,-1,12.2,2.12,0.67,-,0.57,17.4,5.44,-,5.26,1.55,6.19,1.2,4.79,0.3,+0.36,20.14
38,2359,2011Q3,18.8,44,10.05,11.1,-2.3,-18.6,14.1,1.76,0.13,-,0.12,12.5,0.92,-,1.53,0.52,2.07,0.39,1.58,0.07,-0.29,20.26
39,2359,2011Q2,18.8,44,12.35,13,-0.6,-4.6,16.7,1.83,0.47,-,0.18,11,2.8,-,1.84,0.74,2.95,0.56,2.23,0.09,-0.17,20.28
40,2359,2011Q1,18.8,44,12.95,13.7,-1.45,-10.1,12.4,1.9,0.27,-,0.21,15.3,2.21,-,1.51,0.45,1.81,0.35,1.4,0.11,+0.07,20.61
41,2359,2010Q4,18.8,38,14.4,14.6,-0.65,-4.3,18.6,1.65,0.46,-0.53,-0.11,8.9,2.47,-2.86,-0.11,-0.05,-0.2,-0.04,-0.15,-0.06,-0.56,20.47
42,2359,2010Q3,18.8,51,15.05,14.1,+1.75,+13.2,18.4,2.57,0.96,0.13,0.68,13.9,5.21,0.71,4.55,2,7.99,1.5,5.99,0.36,+0.3,20.87
43,2359,2010Q2,18.8,45,13.3,13.9,-1.2,-8.3,17.1,2.11,0.68,-0.05,0.49,12.3,3.96,-0.27,3.68,1.53,6.12,1.13,4.5,0.26,-0.14,20.59
44,2359,2010Q1,18.8,47,14.5,14.1,-1.7,-10.5,15.7,1.72,0.45,-0.25,0.07,10.9,2.86,-1.56,0.84,0.33,1.31,0.23,0.93,0.04,+0.27,20.07
45,2359,2009Q4,18.8,53,16.2,14.4,+3.45,+27.1,14.2,1.13,1.29,-0.25,1.01,7.94,9.07,-1.78,16,5.7,22.8,3.66,14.6,0.5,+0.74,20.11
46,2359,2009Q3,18.1,34,12.75,11.9,+3.62,+39.6,13.2,1.26,-1.72,0.64,0.13,9.6,-13.1,4.86,-11,-3.72,-14.9,-2.25,-9.02,0.06,+0.43,20.04
47,2359,2009Q2,18.1,43,9.13,9,+0.68,+8,14.9,1.34,-0.15,0.61,0.9,9.01,-1.04,4.13,5.1,1.81,7.23,1.22,4.87,0.4,+0.13,20.11
48,2359,2009Q1,22.9,38,8.45,7.03,+2,+31,10.9,0.63,-0.66,0.18,-0.52,5.84,-6.07,1.63,-5.77,-1.42,-5.68,-1.01,-4.03,-0.23,-0.47,17.9
49,2359,2008Q4,22.9,49,6.45,6.91,-1.46,-18.5,76,5.63,-1.01,2.94,0.07,7.4,-1.33,3.86,0.13,0.47,1.89,0.33,1.33,-0.24,-0.66,17.88
50,2359,2008Q3,0,59,7.91,12.1,-6.69,-45.8,-50.9,-4.21,-0.39,-3.27,-1.83,-,-,-,-,-9.09,-36.3,-5.98,-23.9,-0.37,-0.71,17.92
51,2359,2008Q2,21.3,62,14.6,20,-5.8,-28.4,50.9,4.21,0.39,3.27,1.83,8.27,0.76,6.42,4,9.09,36.3,5.98,23.9,0.27,-1.7,19.86
52,2359,2008Q1,0,67,20.4,19.4,+1.1,+5.7,0,0,0,0,0,-,-,-,-,0,0,0,0,0.24,-,15.07
53,2359,2007Q4,38.8,60,19.3,23.2,-9.5,-33,146,13.1,3.53,15.7,15.2,8.97,2.41,10.7,10.8,24.1,96.5,14.5,58,0.42,+0.35,15.08
54,2359,2007Q3,38.8,12,28.8,25.9,+7.5,+35.2,11.6,0.96,-0.16,-0.74,-0.99,8.24,-1.39,-6.41,-8.42,-,-,-,-,0.34,-,14.71
55,2359,2007Q2,37.7,47,21.3,14.8,+8.1,+61.4,67.6,6.7,1.87,14,12.3,9.91,2.76,20.7,18.7,20.6,82.3,11.4,45.4,1.97,+2.62,14.45
56,2359,2007Q1,-,-,13.2,10.6,+2.75,+26.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,2359,2006Q4,37.6,37,10.45,10.1,+2.32,+28.5,-,-,-,-,0.28,-,-,-,-,0.59,2.36,0.31,1.25,0.07,+0.26,10.93
58,2359,2006Q3,-,-,8.13,8.61,-1.17,-12.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,2359,2006Q2,37.6,26,9.3,8.89,+3.64,+64.3,-,-,-,-,-2.44,-,-,-,-,-5.03,-20.1,-2.61,-10.4,-0.65,-0.54,11.04
60,2359,2006Q1,-,-,5.66,6.07,-0.64,-10.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,2359,2005Q4,37.6,26,6.3,4.9,+1.21,+23.8,-,-,-,-,-0.72,-,-,-,-,-1.91,-7.65,-0.82,-3.26,-0.19,+1.37,8.26
62,2359,2005Q3,-,-,5.09,5.8,-0.98,-16.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,2359,2005Q2,37.6,22,6.07,5.65,+0.18,+3.1,-,-,-,-,-0.41,-,-,-,-,-1.06,-4.25,-0.43,-1.73,-0.11,-,8.42
64,2359,2005Q1,-,-,5.89,6.2,-0.86,-12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,2359,2004Q4,37.6,22,6.75,6.77,-0.1,-1.5,-,-,-,-,-5.9,-,-,-,-,-16.1,-64.4,-5.86,-23.4,-1.56,-1.47,8.07
66,2359,2004Q3,-,-,6.85,7.93,-0.95,-12.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,2359,2004Q2,-,-,7.8,11.3,-3.15,-28.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
