ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2472,2021Q1,-,-,82.3,70.4,+18.5,+29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2472,2020Q4,-,-,63.8,57.2,+11.4,+21.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2472,2020Q3,12.9,62,52.4,50.7,+9.9,+23.3,20.7,6.21,3.76,0.03,2.18,30,18.2,0.16,14.9,5.15,20.6,2.83,11.3,1.68,+0.89,31.33
3,2472,2020Q2,12.9,55,42.5,40.2,+15.1,+55.1,20.4,6.13,3.78,-0.27,2.09,30,18.5,-1.32,13.6,4.94,19.8,2.65,10.6,1.62,+0.7,26.33
4,2472,2020Q1,12.9,60,27.4,36,-16.55,-37.7,15.7,4.01,1.95,0.13,1.19,25.6,12.5,0.84,10.7,3,12,1.63,6.52,0.92,+0.06,26.73
5,2472,2019Q4,12.9,49,43.95,42.1,+1.95,+4.6,18.5,4.85,2.51,-0.55,1,26.2,13.6,-2.94,8.04,2.7,10.8,1.43,5.73,0.78,-0.03,26.08
6,2472,2019Q3,12.9,45,42,42.1,+1.1,+2.7,17.5,4.53,2.26,-0.41,1.02,25.9,12.9,-2.32,7.43,2.35,9.4,1.21,4.85,0.79,-0.51,25.66
7,2472,2019Q2,12.9,49,40.9,39.1,+0.45,+1.1,18,4.16,1.97,-0.03,1.19,23.1,10.9,-0.15,8.23,2.58,10.3,1.36,5.45,0.92,-0.51,25.77
8,2472,2019Q1,12.9,49,40.45,40.8,+0.45,+1.1,16.4,4.03,1.83,0.3,1.11,24.6,11.2,1.8,9.91,2.83,11.3,1.49,5.98,0.86,-0.02,27.48
9,2472,2018Q4,12.9,51,40,43.4,-8.5,-17.5,18.6,5.21,2.27,0.06,1.04,28,12.2,0.3,9.24,3.12,12.5,1.59,6.34,0.81,-0.13,25.85
10,2472,2018Q3,12.9,47,48.5,61,-30,-38.2,21.5,5.94,3.58,-0.18,1.68,27.6,16.7,-0.84,12,4.82,19.3,2.41,9.62,1.3,-0.2,24.91
11,2472,2018Q2,13.1,49,78.5,67,+23,+41.4,21.7,5.49,2.92,0.81,1.85,25.3,13.4,3.75,12.9,5.17,20.7,2.72,10.9,1.43,+0.42,24.08
12,2472,2018Q1,13.1,49,55.5,57.6,-6,-9.8,18.5,4.71,2.55,-0.14,1.14,25.5,13.8,-0.77,10.6,3.62,14.5,2.01,8.06,0.88,+0.76,24.84
13,2472,2017Q4,13.1,49,61.5,53.1,+18.9,+44.4,19.6,4.94,2.62,0,1.22,25.3,13.4,0.02,9.61,3.66,14.6,2.01,8.05,0.94,-0.03,23.6
