ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,1229,2021Q1,-,-,40.65,41.2,-1.95,-4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1229,2020Q4,-,-,42.6,40.9,+2.8,+7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1229,2020Q3,128,55,39.8,43.2,-2.7,-6.4,23.3,4.42,1.87,8.82,9.85,19,8.02,37.8,44.7,2.62,10.5,2.05,8.18,0.77,-0.14,22.74
3,1229,2020Q2,110,64,42.5,41.8,+5.25,+14.1,27.1,9.43,7.13,7.51,10.3,34.8,26.3,27.7,52.7,3.77,15.1,2.95,11.8,0.94,+0.69,24.9
4,1229,2020Q1,110,47,37.25,36.6,+0.3,+0.8,20.5,3.58,1.14,1.4,2.19,17.5,5.57,6.83,10.8,0.59,2.37,0.48,1.9,0.2,-0.76,24.06
5,1229,2019Q4,110,49,36.95,35.3,+3.25,+9.6,23,3.74,1.07,3.76,4.55,16.2,4.64,16.3,20.4,1.27,5.09,1.01,4.03,0.41,-0.11,24.57
6,1229,2019Q3,110,68,33.7,36.6,-3.7,-9.9,27.2,9.69,7.05,7.12,10,35.7,25.9,26.2,51.2,3.85,15.4,3,12,0.91,+0.24,23.5
7,1229,2019Q2,105,45,37.4,35,+3.75,+11.1,20.2,3.26,0.76,2.43,2.6,16.1,3.74,12,11.6,0.64,2.56,0.51,2.05,0.25,-0.36,24.67
8,1229,2019Q1,105,60,33.65,31,+4,+13.5,12.3,2.01,0.68,9.95,10.5,16.4,5.55,81,85.5,3.39,13.6,2.76,11,0.96,+0.44,25.79
9,1229,2018Q4,105,55,29.65,31,-5.65,-16,13.3,2.19,0.92,4.5,5.46,16.4,6.89,33.8,40.9,2.19,8.77,1.79,7.16,0.52,-0.19,23.34
10,1229,2018Q3,105,57,35.3,37.8,-2.45,-6.5,12.8,2.04,0.67,6.34,7.4,16,5.21,49.7,57.8,2.91,11.6,2.4,9.61,0.67,-0.49,23.8
11,1229,2018Q2,95.6,57,37.75,37.9,-1.45,-3.7,12.6,2.06,0.7,5.96,6.46,16.3,5.54,47.2,51,2.47,9.87,2.09,8.35,0.61,-0.04,26.83
12,1229,2018Q1,95.6,55,39.2,38,+2.6,+7.1,12.2,2.03,0.72,4.9,5.45,16.6,5.87,40,44.5,2.11,8.43,1.81,7.23,0.52,+0.04,27.6
13,1229,2017Q4,95.6,55,36.6,32.2,+7.15,+24.3,12.5,2.37,1.19,5.81,6.81,18.9,9.52,46.4,54.4,2.76,11,2.36,9.44,0.71,+0.15,26.37
14,1229,2017Q3,95.6,68,29.45,28.7,+1.25,+4.4,12.1,2.42,1.13,11.3,12.2,19.9,9.28,93.1,100,5.19,20.8,4.3,17.2,1.16,+0.38,25.08
15,1229,2017Q2,91.1,60,28.2,27.1,+2.75,+10.8,11.9,2.51,1.22,5.11,6.19,21.1,10.2,42.9,50.7,2.66,10.7,2.2,8.79,0.65,-0.01,24.93
16,1229,2017Q1,91.1,60,25.45,23.5,+3.4,+15.4,11.4,2.5,1.28,3.46,4.58,21.9,11.2,30.3,40,2.04,8.14,1.72,6.89,0.48,+0.11,24.86
17,1229,2016Q4,91.1,62,22.05,21.7,+1.05,+5,12.7,3.15,1.7,3.33,5.09,24.7,13.3,26.1,39.7,2.29,9.17,1.88,7.52,0.56,+0.46,24.19
18,1229,2016Q3,91.1,62,21,21.4,-0.05,-0.2,13.1,3.12,1.7,6.15,7.14,23.9,13,47,54.5,3.36,13.5,2.66,10.6,0.78,+0.41,24.11
19,1229,2016Q2,88.9,60,21.05,20.4,+0.8,+4,13.3,2.85,1.49,4.48,5.9,21.4,11.2,33.7,43.8,2.84,11.4,2.28,9.14,0.66,-0.18,22.77
20,1229,2016Q1,88.9,57,20.25,19.2,+1.25,+6.6,13.1,2.8,1.47,2,3.41,21.3,11.2,15.3,25.9,1.66,6.62,1.37,5.48,0.37,+0.04,23.24
21,1229,2015Q4,88.9,43,19,19.3,0,0,13.8,2.56,1.22,-0.61,0.92,18.6,8.88,-4.42,6.32,0.43,1.73,0.36,1.42,0.1,-0.09,22.7
22,1229,2015Q3,88.9,51,19,20.2,-2.65,-12.2,13.7,2.12,0.84,2.47,3.27,15.5,6.15,18.1,23.7,1.54,6.16,1.24,4.94,0.37,-0.13,22.4
23,1229,2015Q2,85.5,55,21.65,21.2,+0.2,+0.9,13.1,1.61,0.44,6.89,7.15,12.3,3.37,52.6,54.7,3.29,13.1,2.67,10.7,0.84,+0.3,25.63
24,1229,2015Q1,85.5,49,21.45,20.8,+1,+4.9,12.5,1.56,0.52,2.36,2.82,12.5,4.18,18.9,22.5,1.31,5.23,1.09,4.38,0.33,-0.45,25.11
25,1229,2014Q4,85.5,47,20.45,19.9,+0.15,+0.7,13.9,1.98,1.11,0.44,1.59,14.2,8.01,3.16,11,0.72,2.87,0.6,2.38,0.19,-0.23,25.32
26,1229,2014Q3,85.4,57,20.3,20.7,-0.7,-3.3,13.4,1.67,0.42,3.86,4.3,12.5,3.12,28.9,31.3,1.97,7.88,1.59,6.34,0.5,+0.01,24.45
27,1229,2014Q2,85.4,51,21,20.1,+1.5,+7.7,13.3,1.52,0.5,4.58,4.63,11.4,3.74,34.4,34.3,2.11,8.46,1.7,6.81,0.54,+0.15,25.01
28,1229,2014Q1,85.3,60,19.5,19.3,+0.1,+0.5,12.5,1.54,0.52,6.25,6.67,12.4,4.16,50.2,53.1,3.09,12.4,2.52,10.1,0.78,+0.51,25.46
29,1229,2013Q4,85.3,51,19.4,19,+0.45,+2.4,14.4,2.01,1.08,2.32,3.54,14,7.49,16.1,24.6,1.74,6.96,1.39,5.58,0.42,+0.12,24.41
30,1229,2013Q3,85.3,53,18.95,19.1,-0.6,-3.1,13.4,1.49,0.56,3.59,4.15,11.1,4.16,26.7,30.5,2.14,8.55,1.66,6.62,0.49,-0.08,23.13
31,1229,2013Q2,85.1,47,19.55,19.8,+0.05,+0.3,13.3,1.29,0.4,3.5,3.32,9.68,3.01,26.3,24.7,1.69,6.76,1.31,5.25,0.39,-0.2,21.64
32,1229,2013Q1,85,47,19.5,19.4,+0.55,+2.9,12.5,1.32,0.38,1.94,2.34,10.5,3.03,15.5,18.3,1.14,4.57,0.91,3.65,0.27,-0.13,23.86
33,1229,2012Q4,84.9,45,18.95,18.9,-0.65,-3.3,13.4,1.99,1.04,1.59,2.57,14.8,7.73,11.8,18.5,1.21,4.86,0.98,3.9,0.3,-0.08,23.3
34,1229,2012Q3,84.8,57,19.6,18.9,+1.5,+8.3,13,1.53,0.6,4.29,4.81,11.8,4.65,33.1,36.7,2.26,9.03,1.8,7.19,0.57,+0.18,25.13
35,1229,2012Q2,84.8,53,18.1,18.1,-1.15,-6,12.5,1.4,0.48,5.06,5,11.2,3.82,40.6,39.7,2.31,9.25,1.84,7.37,0.59,-0.18,24.76
